RoguelikeLevel,SingleEnemy,13,9
PlayerStartLocation,0,0
BackgroundTile,dungeon/environment/MainDungeon.png,1,1
StaticGameObject,DirectionalWall,0,0
StaticGameObject,DirectionalWall,1,0
StaticGameObject,DirectionalWall,2,0
StaticGameObject,DirectionalWall,3,0
StaticGameObject,DirectionalWall,4,0
StaticGameObject,DirectionalWall,5,0
StaticGameObject,Marker,6,0,Door
StaticGameObject,DirectionalWall,7,0
StaticGameObject,DirectionalWall,8,0
StaticGameObject,DirectionalWall,9,0
StaticGameObject,DirectionalWall,10,0
StaticGameObject,DirectionalWall,11,0
StaticGameObject,DirectionalWall,12,0
StaticGameObject,DirectionalWall,0,1
StaticGameObject,DirectionalWall,12,1
StaticGameObject,DirectionalWall,0,2
StaticGameObject,DirectionalWall,12,2
StaticGameObject,DirectionalWall,0,3
StaticGameObject,DirectionalWall,12,3
StaticGameObject,Marker,0,4,Door
StaticGameObject,Marker,6,4,Enemy
StaticGameObject,Marker,12,4,Door
StaticGameObject,DirectionalWall,0,5
StaticGameObject,DirectionalWall,12,5
StaticGameObject,DirectionalWall,0,6
StaticGameObject,DirectionalWall,12,6
StaticGameObject,DirectionalWall,0,7
StaticGameObject,DirectionalWall,12,7
StaticGameObject,DirectionalWall,0,8
StaticGameObject,DirectionalWall,1,8
StaticGameObject,DirectionalWall,2,8
StaticGameObject,DirectionalWall,3,8
StaticGameObject,DirectionalWall,4,8
StaticGameObject,DirectionalWall,5,8
StaticGameObject,Marker,6,8,Door
StaticGameObject,DirectionalWall,7,8
StaticGameObject,DirectionalWall,8,8
StaticGameObject,DirectionalWall,9,8
StaticGameObject,DirectionalWall,10,8
StaticGameObject,DirectionalWall,11,8
StaticGameObject,DirectionalWall,12,8
